#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
9.1%	1810000	-30179.769152737572	301.70842285612775	114	7:38:45
9.1%	1815000	-29857.661317721795	309.4136315600843	114	7:38:38
9.1%	1820000	-30158.2874537569	289.3471409275213	114	7:38:32
9.1%	1825000	-30113.468682791136	301.85469129213675	114	7:38:25
9.2%	1830000	-30461.615209197626	301.2225351083143	114	7:38:17
9.2%	1835000	-29794.072664333857	304.2120387471013	114	7:38:11
9.2%	1840000	-30193.632571374037	294.5640882868284	114	7:38:04
9.2%	1845000	-30024.41922309951	309.67216646605146	114	7:37:57
9.2%	1850000	-29947.866948129406	303.95810566758286	114	7:37:51
9.3%	1855000	-29740.657406032085	293.84602560661284	114	7:37:43
9.3%	1860000	-29964.232315393747	304.1676137290196	114	7:37:38
9.3%	1865000	-29794.042013849365	301.78153330318383	114	7:37:31
9.3%	1870000	-29964.058752785117	292.70867521106146	114	7:37:23
9.4%	1875000	-30071.78472733134	286.4041366276163	114	7:37:17
9.4%	1880000	-30082.31913068029	301.0692330598533	114	7:37:10
9.4%	1885000	-30047.016753955017	295.91391572902484	114	7:37:03
9.4%	1890000	-29961.09429380577	306.48355056316524	114	7:36:57
9.5%	1895000	-30216.909182371397	305.7773736383907	114	7:36:50
9.5%	1900000	-30247.09028630471	295.797521424856	114	7:36:44
9.5%	1905000	-29965.27084616394	304.5554790096053	114	7:36:38
9.6%	1910000	-29912.540240244096	301.7251876240566	114	7:36:31
9.6%	1915000	-30151.849597543478	308.00892772937453	114	7:36:26
9.6%	1920000	-29833.700334190362	288.12235624683797	114	7:36:19
9.6%	1925000	-29886.132802214706	300.09387885070214	114	7:36:12
9.7%	1930000	-29698.430749136867	289.0135822143006	114	7:36:07
9.7%	1935000	-30059.797619205056	301.33977701242776	114	7:36:00
9.7%	1940000	-30072.876146397	297.05505225490816	114	7:35:54
9.7%	1945000	-30078.301192396728	303.1669273943615	114	7:35:47
9.8%	1950000	-30046.84309464245	317.9040489301467	114	7:35:39
9.8%	1955000	-30197.281980783242	302.3329258035764	114	7:35:33
9.8%	1960000	-29808.224381987093	291.8674571878744	114	7:35:25
9.8%	1965000	-29829.77743619267	306.5024796256503	114	7:35:18
9.8%	1970000	-30079.1656813999	297.49673809442106	114	7:35:11
9.9%	1975000	-30342.857002597622	294.98301978282507	114	7:35:03
9.9%	1980000	-30186.19662341851	305.4976550910919	114	7:34:56
9.9%	1985000	-30039.432599514286	292.0036356876997	114	7:34:50
9.9%	1990000	-30286.12356871349	290.62775209809666	114	7:34:43
10.0%	1995000	-30004.30664906514	305.15066283767914	114	7:34:38
10.0%	2000000	-30176.920174288418	301.70195546782054	114	7:34:31
10.0%	2005000	-29960.76054604721	291.9715017687222	114	7:34:23
10.1%	2010000	-30113.09115247178	291.79046666515524	114	7:34:17
10.1%	2015000	-29942.104492070794	289.5407339405262	114	7:34:10
10.1%	2020000	-30248.52483563777	295.4850351129798	114	7:34:04
10.1%	2025000	-29948.179757524747	305.7249421043007	114	7:33:58
10.2%	2030000	-29928.276695671986	295.80293717185765	114	7:33:51
10.2%	2035000	-29793.611587963533	315.2683152729742	114	7:33:45
10.2%	2040000	-29827.26215879491	308.6841435503474	114	7:33:38
10.2%	2045000	-29915.099235204543	302.16135535460336	114	7:33:32
10.2%	2050000	-30007.581815491925	298.62125347301287	114	7:33:26
