#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
6.6%	1325000	-29985.547710802988	303.80472614126364	115	7:47:50
6.7%	1330000	-29518.7969099615	301.5570293579333	115	7:47:43
6.7%	1335000	-29982.327414202824	311.61801542992276	115	7:47:38
6.7%	1340000	-29763.55283522408	294.0975280169702	115	7:47:31
6.7%	1345000	-30113.3728562966	302.9874802711771	115	7:47:25
6.8%	1350000	-30008.260716866673	307.20025229832544	115	7:47:18
6.8%	1355000	-30172.27600818654	302.62994822584034	115	7:47:12
6.8%	1360000	-30104.296512428817	301.14288298440016	115	7:47:07
6.8%	1365000	-29990.010111976822	302.63503369549437	115	7:46:59
6.8%	1370000	-30120.820210776	297.0283682840649	115	7:46:54
6.9%	1375000	-29572.89364662909	298.1313179033316	115	7:46:48
6.9%	1380000	-30009.28069734099	293.0129870377366	115	7:46:41
6.9%	1385000	-30042.640461699193	298.0064008902903	115	7:46:35
7.0%	1390000	-29904.43287009548	299.63875164547017	115	7:46:28
7.0%	1395000	-30087.508582408132	305.4571085657067	115	7:46:23
7.0%	1400000	-29811.814891998452	298.0935376077322	115	7:46:17
7.0%	1405000	-30059.092239815625	303.2268359944741	115	7:46:08
7.0%	1410000	-29889.028670591273	298.57509533910655	115	7:46:02
7.1%	1415000	-29889.393422601803	303.7222817690593	115	7:45:53
7.1%	1420000	-30008.231289898424	313.0864778163542	115	7:45:47
7.1%	1425000	-29950.33190562317	296.1658213026098	115	7:45:40
7.2%	1430000	-30193.553522727947	301.47094757482057	115	7:45:32
7.2%	1435000	-29797.33304432573	299.81150331945264	115	7:45:26
7.2%	1440000	-30130.769575040904	305.4082053854738	115	7:45:18
7.2%	1445000	-29922.91396368135	298.8691277415	115	7:45:10
7.2%	1450000	-30051.457192583563	312.2005871417313	115	7:45:04
7.3%	1455000	-30071.90932938439	303.37800629193873	115	7:44:56
7.3%	1460000	-30007.684488206025	295.7084566683549	115	7:44:49
7.3%	1465000	-29835.043534207332	300.3266883440175	115	7:44:42
7.3%	1470000	-30005.822432132118	302.2054838090071	115	7:44:35
7.4%	1475000	-29891.669805887825	292.28517802210314	115	7:44:28
7.4%	1480000	-30021.586475430726	300.82742852966555	115	7:44:21
